order_id,order_date,region,channel,category,product,customer_id,quantity,unit_price,discount_rate,status
SO202600001,2026-03-03,华北,自营商城,家居,记忆棉枕,C1074,2, 126.65 ,0.05,已发货
SO202600002,2026/01/14,east,自营商城,家电,扫地机器人,C1289,8,44.81,0.1,已完成
SO202600003,2026-05-31,华南,第三方平台,户外,登山杖,C1005,3,307.23,0,已完成
SO202600004,2026年5月9日,西区,自营商城,家电,扫地机器人,C1305,8,215.52,0.15,已完成
SO202600005,2026-04-01,华北区,线下门店,家电,破壁机,C1290,4, 654.37 ,0.15,已完成
SO202600006,2026/07/30,华北区,自营商城,家居,收纳箱,C1312,6, 320.46 ,0.15,已完成
SO202600007,2026-04-21,east,直播间,户外,登山杖,C1169,4,565.17,0.15,已发货
SO202600008,14-02-2026,华南区,第三方平台,家居,记忆棉枕,C1344,5,39.60,0.2,已完成
SO202600009,09-03-2026,华 东,自营商城,家居,记忆棉枕,C1017,6,¥150.35,0.2,已完成
SO202600010,2026/02/07,西区,直播间,家电,扫地机器人,C1345,5, 295.10 ,0.2,已完成
SO202600011,2026/05/25,华北区,自营商城,家居,收纳箱,C1176,8,¥252.30,0.2,已发货
SO202600012,2026-04-27,华北区,自营商城,数码,无线耳机,C1201,3,741.82,0.2,已完成
SO202600013,2026-02-02,east,线下门店,家居,香薰机,C1007,3,255.87,0.2,已发货
SO202600014,2026年7月7日,华南区,线下门店,家居,记忆棉枕,C1303,3, 450.69 ,0.2,已完成
SO202600015,2026-06-24,西部,第三方平台,户外,保温壶,C1341,2,352.43,0,已完成
SO202600016,06-04-2026,North,直播间,户外,保温壶,C1358,2,496.97,0.15,已发货
SO202600017,2026/01/18,east,自营商城,家电,空气炸锅,C1045,4,722.17,0,已完成
SO202600018,2026-04-23,华南,自营商城,户外,保温壶,C1366,5,601.54,0,已完成
SO202600019,2026/03/16,east,直播间,家电,空气炸锅,C1033,6,68.58,0,已发货
SO202600020,2026-02-12,华东,自营商城,家居,香薰机,C1331,3,¥506.66,0.15,已完成
SO202600021,2026-01-28,华南,自营商城,户外,登山杖,C1290,2, 326.28 ,0,已发货
SO202600022,2026年7月10日,South,直播间,家电,空气炸锅,C1038,8,417.54,0.15,已完成
SO202600023,2026年7月31日, 华东 ,线下门店,数码,无线耳机,C1270,7,¥595.82,,已发货
SO202600024,25-06-2026,华南,第三方平台,数码,移动电源,C1344,8,328.78,0.05,已完成
SO202600025,2026-06-23,华东区,直播间,家居,收纳箱,C1035,2,¥462.27,0.15,已发货
SO202600026,2026-04-03,East,线下门店,数码,智能手表,C1219,4,¥77.31,,已完成
SO202600027,2026年2月3日,华北区,直播间,数码,智能手表,C1172,1, 706.13 ,0,已完成
SO202600028,2026-04-01,西部,自营商城,数码,移动电源,C1074,4,723.71,0.05,已完成
SO202600029,2026-03-12,华南区,线下门店,家居,记忆棉枕,C1138,7, 396.10 ,0.15,已完成
SO202600030,2026-01-05,华 东,第三方平台,家居,记忆棉枕,C1106,2, 814.43 ,0.3,已发货
SO202600031,2026-04-23,east,第三方平台,数码,无线耳机,C1336,6,¥882.05,0,已发货
SO202600032,2026-07-20,North,自营商城,户外,登山杖,C1306,2,577.70,0.1,已完成
SO202600033,2026-06-07,华北,第三方平台,家电,扫地机器人,C1113,5,164.65,0.1,已完成
SO202600034,2026-02-07,North,自营商城,户外,登山杖,C1272,6,841.37,0.15,已发货
SO202600035,2026/02/23,西区,自营商城,家电,扫地机器人,C1394,4,221.14,,已完成
SO202600036,2026/01/12,North,自营商城,家电,破壁机,C1293,5,¥878.09,0,已发货
SO202600037,2026-07-12,华东,自营商城,家居,香薰机,C1086,,302.08,0.05,已发货
SO202600038,2026-05-02,West,第三方平台,户外,折叠椅,C1151,5,¥794.86,0.05,已发货
SO202600039,2026年4月10日,西区,自营商城,家居,香薰机,C1169,3,216.42,0.2,已发货
SO202600040,2026年3月1日,华北,直播间,家居,记忆棉枕,C1025,2,¥319.75,0.3,已发货
SO202600041,21-07-2026, 华东 ,自营商城,家居,记忆棉枕,C1394,8,,0.2,已完成
